Age,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Purchase_Category,Purchase_Amount,Frequency_of_Purchase,Unnamed: 10,Unnamed: 11,Product_Rating,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Customer_Satisfaction,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Shipping_Preference
36.0,,,,,,,Electronics,129.7115324228396,4.0,,,5,,,,,3,,,,,,,,Standard
27.0,,,,,,,Hotels,94.88185362932153,6.0,,,3,,,,,7,,,,,,,,No Preference
48.0,,,,,,,Groceries,378.50258900389053,6.0,,,1,,,,,3,,,,,,,,Standard
32.0,,,,,,,Mobile Accessories,147.53532846231113,12.0,,,1,,,,,4,,,,,,,,Standard
17.0,,,,,,,Electronics,36.21294711460022,5.0,,,2,,,,,6,,,,,,,,No Preference
30.0,,,,,,,Packages),204.13786492740795,12.0,,,5,,,,,9,,,,,,,,Express
37.0,,,,,,,Animal Feed,372.6550124357062,10.0,,,4,,,,,1,,,,,,,,No Preference
20.0,,,,,,,Jewelry & Accessories,456.2767270772247,5.0,,,3,,,,,8,,,,,,,,Express
35.0,,,,,,,Jewelry & Accessories,437.453608027369,12.0,,,3,,,,,6,,,,,,,,Express
44.0,,,,,,,Jewelry & Accessories,253.17686079273005,4.0,,,1,,,,,10,,,,,,,,No Preference
27.0,,,,,,,Baby Products,212.45497422381243,6.0,,,3,,,,,9,,,,,,,,Standard
28.0,,,,,,,Home Appliances,232.46605734214802,4.0,,,1,,,,,4,,,,,,,,Standard
29.0,,,,,,,Toys & Games,265.71695042326485,5.0,,,3,,,,,4,,,,,,,,Standard
40.0,,,,,,,Beauty & Personal Care,382.0612079268735,2.0,,,2,,,,,1,,,,,,,,Standard
34.0,,,,,,,Toys & Games,440.0905527216594,10.0,,,3,,,,,2,,,,,,,,Express
47.0,,,,,,,Travel & Leisure (Flights,354.937080423068,12.0,,,5,,,,,9,,,,,,,,Express
35.0,,,,,,,Baby Products,267.59692602848736,3.0,,,5,,,,,3,,,,,,,,Standard
35.0,,,,,,,Packages),364.6499743813779,9.0,,,1,,,,,4,,,,,,,,Standard
22.0,,,,,,,Baby Products,187.41318452299163,3.0,,,3,,,,,3,,,,,,,,No Preference
35.0,,,,,,,Home Appliances,227.3666238540801,5.0,,,3,,,,,3,,,,,,,,No Preference
14.0,,,,,,,Furniture,309.20277406508313,5.0,,,1,,,,,4,,,,,,,,No Preference
41.0,,,,,,,Clothing,343.0255285698852,9.0,,,5,,,,,9,,,,,,,,Express
40.0,,,,,,,Software & Apps,391.04786880663903,6.0,,,5,,,,,9,,,,,,,,No Preference
18.0,,,,,,,Toys & Games,373.8511439896321,10.0,,,1,,,,,4,,,,,,,,No Preference
17.0,,,,,,,Arts & Crafts,31.539970436344213,2.0,,,4,,,,,6,,,,,,,,No Preference
37.0,,,,,,,Baby Products,63.688562925332135,9.0,,,4,,,,,2,,,,,,,,Express
29.0,,,,,,,Office Supplies,519.0244861444318,6.0,,,3,,,,,3,,,,,,,,No Preference
31.0,,,,,,,Mobile Accessories,316.9638794063334,5.0,,,5,,,,,5,,,,,,,,Express
45.0,,,,,,,Electronics,384.56320782833586,8.0,,,5,,,,,7,,,,,,,,Express
45.0,,,,,,,Travel & Leisure (Flights,79.2395945082546,9.0,,,1,,,,,1,,,,,,,,No Preference
42.0,,,,,,,Clothing,339.052691584997,6.0,,,4,,,,,6,,,,,,,,No Preference
17.0,,,,,,,Groceries,394.4479235668889,6.0,,,5,,,,,4,,,,,,,,Express
30.0,,,,,,,Books,413.5587196836668,13.0,,,1,,,,,6,,,,,,,,No Preference
22.0,,,,,,,Luxury Goods,140.4307070687166,5.0,,,1,,,,,1,,,,,,,,Standard
41.0,,,,,,,Clothing,412.5116029386377,8.0,,,3,,,,,4,,,,,,,,Standard
32.0,,,,,,,Gardening & Outdoors,229.01053149337815,9.0,,,5,,,,,2,,,,,,,,Standard
26.0,,,,,,,Software & Apps,374.93822619750483,5.0,,,5,,,,,3,,,,,,,,Express
37.0,,,,,,,Mobile Accessories,286.81647695493086,11.0,,,5,,,,,7,,,,,,,,Standard
39.0,,,,,,,Home Appliances,288.0867324629887,11.0,,,4,,,,,7,,,,,,,,Standard
46.0,,,,,,,Furniture,309.1323676959079,9.0,,,2,,,,,10,,,,,,,,Express
33.0,,,,,,,Gardening & Outdoors,166.1391027221604,1.0,,,3,,,,,1,,,,,,,,Standard
46.0,,,,,,,Luxury Goods,207.59573813870225,9.0,,,3,,,,,6,,,,,,,,No Preference
46.0,,,,,,,Animal Feed,222.53773978932497,4.0,,,1,,,,,3,,,,,,,,No Preference
37.0,,,,,,,Sports & Outdoors,311.7415061389735,6.0,,,5,,,,,4,,,,,,,,Express
18.0,,,,,,,Electronics,461.6041357254552,9.0,,,2,,,,,8,,,,,,,,No Preference
35.0,,,,,,,Luxury Goods,385.48874737355754,4.0,,,4,,,,,9,,,,,,,,Express
35.0,,,,,,,Luxury Goods,197.68073416545758,4.0,,,5,,,,,9,,,,,,,,Express
38.0,,,,,,,Arts & Crafts,86.76312612144041,11.0,,,3,,,,,8,,,,,,,,Express
33.0,,,,,,,Sports & Outdoors,328.19589832865415,5.0,,,1,,,,,9,,,,,,,,Standard
39.0,,,,,,,Packages),494.2790724539235,3.0,,,1,,,,,2,,,,,,,,No Preference
37.0,,,,,,,Software & Apps,58.98193828834319,5.0,,,2,,,,,1,,,,,,,,Express
36.0,,,,,,,Luxury Goods,115.04844607362193,6.0,,,3,,,,,7,,,,,,,,Standard
46.0,,,,,,,Gardening & Outdoors,373.4910378619842,12.0,,,3,,,,,9,,,,,,,,Express
45.0,,,,,,,Food & Beverages,268.6608404123094,10.0,,,4,,,,,8,,,,,,,,No Preference
30.0,,,,,,,Office Supplies,443.9049636021524,3.0,,,5,,,,,4,,,,,,,,Express
23.0,,,,,,,Jewelry & Accessories,497.89007198112347,9.0,,,4,,,,,1,,,,,,,,No Preference
35.0,,,,,,,Baby Products,236.5515385333423,7.0,,,3,,,,,6,,,,,,,,No Preference
29.0,,,,,,,Office Supplies,267.58519393645514,9.0,,,5,,,,,8,,,,,,,,No Preference
46.0,,,,,,,Jewelry & Accessories,148.52244309205383,7.0,,,3,,,,,7,,,,,,,,No Preference
38.0,,,,,,,Toys & Games,210.05061770279747,12.0,,,1,,,,,6,,,,,,,,No Preference
23.0,,,,,,,Groceries,447.36655520925353,8.0,,,5,,,,,6,,,,,,,,Standard
35.0,,,,,,,Books,165.00145639083158,7.0,,,3,,,,,7,,,,,,,,Standard
38.0,,,,,,,Beauty & Personal Care,483.43186023740907,-1.0,,,2,,,,,2,,,,,,,,No Preference
31.0,,,,,,,Food & Beverages,111.40744059002083,3.0,,,5,,,,,8,,,,,,,,Express
28.0,,,,,,,Mobile Accessories,229.24970303173637,7.0,,,4,,,,,8,,,,,,,,No Preference
36.0,,,,,,,Home Appliances,85.66331859842559,4.0,,,3,,,,,9,,,,,,,,No Preference
33.0,,,,,,,Software & Apps,65.91288589271475,3.0,,,2,,,,,3,,,,,,,,Express
24.0,,,,,,,Gardening & Outdoors,234.59906538248333,6.0,,,4,,,,,10,,,,,,,,Standard
17.0,,,,,,,Animal Feed,122.69430704460136,8.0,,,2,,,,,7,,,,,,,,No Preference
43.0,,,,,,,Books,493.8630101704506,9.0,,,4,,,,,9,,,,,,,,Express
28.0,,,,,,,Books,176.5696652256217,3.0,,,1,,,,,3,,,,,,,,No Preference
42.0,,,,,,,Groceries,72.29801222164676,3.0,,,3,,,,,3,,,,,,,,No Preference
32.0,,,,,,,Home Appliances,478.98975722701516,8.0,,,1,,,,,3,,,,,,,,No Preference
32.0,,,,,,,Gardening & Outdoors,356.01745674537995,13.0,,,1,,,,,7,,,,,,,,Express
30.0,,,,,,,Beauty & Personal Care,408.57668211439284,8.0,,,2,,,,,7,,,,,,,,Express
44.0,,,,,,,Software & Apps,284.2013566467713,3.0,,,5,,,,,2,,,,,,,,Express
25.0,,,,,,,Baby Products,247.38426613186627,5.0,,,1,,,,,1,,,,,,,,Standard
21.0,,,,,,,Electronics,469.7287775503562,4.0,,,3,,,,,7,,,,,,,,Standard
25.0,,,,,,,Mobile Accessories,339.7601011843366,11.0,,,2,,,,,7,,,,,,,,No Preference
42.0,,,,,,,Groceries,449.6203830658253,7.0,,,2,,,,,10,,,,,,,,Standard
33.0,,,,,,,Sports & Outdoors,309.1886556153138,9.0,,,3,,,,,3,,,,,,,,No Preference
20.0,,,,,,,Home Appliances,198.44023524785155,11.0,,,1,,,,,1,,,,,,,,No Preference
48.0,,,,,,,Animal Feed,28.669952170404827,5.0,,,3,,,,,10,,,,,,,,Standard
34.0,,,,,,,Beauty & Personal Care,336.2860523546832,10.0,,,3,,,,,7,,,,,,,,No Preference
45.0,,,,,,,Toys & Games,202.6649290281181,10.0,,,2,,,,,1,,,,,,,,Standard
26.0,,,,,,,Electronics,402.12305364847305,6.0,,,2,,,,,9,,,,,,,,Standard
39.0,,,,,,,Books,364.5471453138232,11.0,,,5,,,,,9,,,,,,,,Standard
34.0,,,,,,,Luxury Goods,361.2497908483474,5.0,,,1,,,,,4,,,,,,,,No Preference
37.0,,,,,,,Mobile Accessories,196.33650029334072,3.0,,,2,,,,,3,,,,,,,,Express
39.0,,,,,,,Hotels,480.2437392779665,11.0,,,4,,,,,10,,,,,,,,Standard
31.0,,,,,,,Jewelry & Accessories,224.48867742337166,5.0,,,5,,,,,7,,,,,,,,No Preference
30.0,,,,,,,Gardening & Outdoors,65.39804421250801,5.0,,,5,,,,,1,,,,,,,,No Preference
26.0,,,,,,,Electronics,227.15234533028865,2.0,,,2,,,,,8,,,,,,,,Standard
32.0,,,,,,,Health Care,481.9260985660286,7.0,,,5,,,,,7,,,,,,,,Express
21.0,,,,,,,Hotels,202.40409795692352,8.0,,,1,,,,,10,,,,,,,,No Preference
19.0,,,,,,,Baby Products,476.04726993567044,10.0,,,3,,,,,5,,,,,,,,Express
37.0,,,,,,,Sports & Outdoors,339.6372707295618,8.0,,,3,,,,,10,,,,,,,,Standard
44.0,,,,,,,Groceries,493.81793183993625,2.0,,,2,,,,,2,,,,,,,,No Preference
19.0,,,,,,,Health Supplements,27.805719060980174,11.0,,,3,,,,,2,,,,,,,,Express
26.0,,,,,,,Jewelry & Accessories,448.3499388772615,2.0,,,2,,,,,2,,,,,,,,Standard
44.0,,,,,,,Books,446.5096149048238,8.0,,,5,,,,,1,,,,,,,,Express
30.0,,,,,,,Arts & Crafts,442.6046019125175,3.0,,,1,,,,,3,,,,,,,,No Preference
51.0,,,,,,,Packages),192.08492026756247,10.0,,,5,,,,,3,,,,,,,,Standard
26.0,,,,,,,Food & Beverages,210.33838495250956,10.0,,,1,,,,,4,,,,,,,,No Preference
36.0,,,,,,,Health Care,360.69438942063437,10.0,,,4,,,,,6,,,,,,,,Standard
24.0,,,,,,,Clothing,208.77179953119062,8.0,,,1,,,,,4,,,,,,,,Express
26.0,,,,,,,Office Supplies,38.4074795568093,4.0,,,5,,,,,9,,,,,,,,Standard
42.0,,,,,,,Travel & Leisure (Flights,167.06755058599893,3.0,,,3,,,,,3,,,,,,,,Express
36.0,,,,,,,Travel & Leisure (Flights,126.74908548884842,10.0,,,5,,,,,5,,,,,,,,No Preference
53.0,,,,,,,Beauty & Personal Care,307.38160849634846,4.0,,,4,,,,,3,,,,,,,,Standard
28.0,,,,,,,Books,314.9836870754066,10.0,,,5,,,,,4,,,,,,,,Express
23.0,,,,,,,Gardening & Outdoors,136.88981872925768,5.0,,,4,,,,,4,,,,,,,,Express
37.0,,,,,,,Toys & Games,153.81233023696478,8.0,,,5,,,,,9,,,,,,,,Standard
29.0,,,,,,,Toys & Games,397.35707201075627,9.0,,,1,,,,,9,,,,,,,,Express
21.0,,,,,,,Toys & Games,491.5703838811895,11.0,,,5,,,,,1,,,,,,,,No Preference
37.0,,,,,,,Toys & Games,341.6877245419586,7.0,,,4,,,,,8,,,,,,,,No Preference
36.0,,,,,,,Arts & Crafts,87.59211516390715,3.0,,,1,,,,,6,,,,,,,,No Preference
37.0,,,,,,,Beauty & Personal Care,66.21731956200503,9.0,,,3,,,,,1,,,,,,,,Standard
25.0,,,,,,,Sports & Outdoors,322.0237767613771,4.0,,,1,,,,,7,,,,,,,,Express
32.0,,,,,,,Sports & Outdoors,281.92825639885166,6.0,,,1,,,,,6,,,,,,,,Express
30.0,,,,,,,Luxury Goods,232.4132459024856,10.0,,,5,,,,,3,,,,,,,,Express
45.0,,,,,,,Health Care,437.6953872727647,9.0,,,4,,,,,2,,,,,,,,Express
49.0,,,,,,,Toys & Games,377.46335693527703,3.0,,,4,,,,,4,,,,,,,,Standard
42.0,,,,,,,Software & Apps,335.874560076938,5.0,,,4,,,,,10,,,,,,,,Standard
20.0,,,,,,,Sports & Outdoors,122.69525869043872,6.0,,,3,,,,,5,,,,,,,,Express
40.0,,,,,,,Clothing,357.67966393223855,3.0,,,4,,,,,8,,,,,,,,Express
41.0,,,,,,,Home Appliances,40.981623147376546,5.0,,,4,,,,,10,,,,,,,,Express
35.0,,,,,,,Books,373.3263586464576,6.0,,,2,,,,,9,,,,,,,,Standard
39.0,,,,,,,Beauty & Personal Care,301.62724085055254,6.0,,,2,,,,,7,,,,,,,,Standard
40.0,,,,,,,Groceries,207.6065089878073,11.0,,,4,,,,,7,,,,,,,,Express
45.0,,,,,,,Sports & Outdoors,209.39139494931393,2.0,,,3,,,,,1,,,,,,,,Express
39.0,,,,,,,Health Care,298.67446095858486,6.0,,,2,,,,,1,,,,,,,,Express
29.0,,,,,,,Home Appliances,188.99491278730832,4.0,,,5,,,,,3,,,,,,,,Express
31.0,,,,,,,Hotels,264.7101578750389,5.0,,,4,,,,,10,,,,,,,,No Preference
35.0,,,,,,,Health Supplements,336.6606627091679,10.0,,,3,,,,,5,,,,,,,,Express
23.0,,,,,,,Beauty & Personal Care,273.84592972627786,2.0,,,4,,,,,2,,,,,,,,Express
32.0,,,,,,,Home Appliances,452.9154684567739,9.0,,,3,,,,,1,,,,,,,,No Preference
25.0,,,,,,,Software & Apps,309.96196107907605,9.0,,,1,,,,,10,,,,,,,,No Preference
30.0,,,,,,,Mobile Accessories,188.02576169948668,8.0,,,1,,,,,1,,,,,,,,No Preference
31.0,,,,,,,Home Appliances,149.93901418840824,7.0,,,4,,,,,8,,,,,,,,No Preference
33.0,,,,,,,Health Supplements,144.75222254025616,6.0,,,1,,,,,7,,,,,,,,Standard
24.0,,,,,,,Health Care,195.7525244978774,10.0,,,1,,,,,2,,,,,,,,No Preference
22.0,,,,,,,Animal Feed,370.0980521090134,9.0,,,3,,,,,10,,,,,,,,No Preference
47.0,,,,,,,Packages),487.3714934495579,8.0,,,3,,,,,9,,,,,,,,Express
37.0,,,,,,,Books,280.8424269507161,5.0,,,4,,,,,9,,,,,,,,Express
34.0,,,,,,,Animal Feed,476.1796086431243,8.0,,,5,,,,,7,,,,,,,,Standard
24.0,,,,,,,Clothing,361.9191052566887,9.0,,,4,,,,,3,,,,,,,,Standard
43.0,,,,,,,Arts & Crafts,36.30235889077051,6.0,,,2,,,,,7,,,,,,,,Standard
16.0,,,,,,,Sports & Outdoors,208.23225841312552,2.0,,,5,,,,,9,,,,,,,,No Preference
19.0,,,,,,,Luxury Goods,331.0016411292945,12.0,,,4,,,,,10,,,,,,,,Express
36.0,,,,,,,Health Supplements,356.6216337442453,11.0,,,3,,,,,3,,,,,,,,Express
24.0,,,,,,,Sports & Outdoors,323.7587616955059,9.0,,,2,,,,,2,,,,,,,,Express
33.0,,,,,,,Beauty & Personal Care,278.16543982492226,8.0,,,3,,,,,9,,,,,,,,Express
31.0,,,,,,,Luxury Goods,444.3443750342965,4.0,,,5,,,,,10,,,,,,,,Express
32.0,,,,,,,Luxury Goods,300.2020160789457,13.0,,,1,,,,,5,,,,,,,,Standard
26.0,,,,,,,Arts & Crafts,396.0091801734351,4.0,,,3,,,,,3,,,,,,,,No Preference
43.0,,,,,,,Arts & Crafts,470.4987208371417,10.0,,,1,,,,,1,,,,,,,,Express
39.0,,,,,,,Toys & Games,324.8296300465779,7.0,,,2,,,,,3,,,,,,,,Standard
33.0,,,,,,,Beauty & Personal Care,132.83103109842676,6.0,,,5,,,,,8,,,,,,,,No Preference
40.0,,,,,,,Electronics,108.11841826289677,6.0,,,4,,,,,9,,,,,,,,Standard
19.0,,,,,,,Hotels,48.518877246537606,5.0,,,1,,,,,2,,,,,,,,No Preference
33.0,,,,,,,Software & Apps,492.6784245099951,4.0,,,4,,,,,9,,,,,,,,Standard
36.0,,,,,,,Luxury Goods,338.42522699712504,12.0,,,2,,,,,9,,,,,,,,No Preference
32.0,,,,,,,Gardening & Outdoors,334.6418628558014,4.0,,,3,,,,,5,,,,,,,,Standard
40.0,,,,,,,Office Supplies,315.9717796343449,3.0,,,4,,,,,3,,,,,,,,Express
42.0,,,,,,,Books,333.72752953759016,10.0,,,2,,,,,7,,,,,,,,No Preference
43.0,,,,,,,Sports & Outdoors,465.202909759759,11.0,,,4,,,,,8,,,,,,,,No Preference
37.0,,,,,,,Arts & Crafts,311.01767117748705,7.0,,,4,,,,,3,,,,,,,,Express
43.0,,,,,,,Books,325.4540019379011,5.0,,,5,,,,,6,,,,,,,,Standard
32.0,,,,,,,Baby Products,244.1560483082112,6.0,,,5,,,,,9,,,,,,,,No Preference
41.0,,,,,,,Groceries,50.66692277690654,3.0,,,5,,,,,3,,,,,,,,No Preference
34.0,,,,,,,Animal Feed,433.2889307005328,5.0,,,1,,,,,9,,,,,,,,Standard
38.0,,,,,,,Furniture,296.0950534887039,4.0,,,2,,,,,4,,,,,,,,Express
51.0,,,,,,,Home Appliances,352.95784627093644,3.0,,,5,,,,,7,,,,,,,,Standard
44.0,,,,,,,Furniture,266.53737087912555,4.0,,,1,,,,,10,,,,,,,,Express
20.0,,,,,,,Travel & Leisure (Flights,377.79367751369557,5.0,,,2,,,,,3,,,,,,,,Standard
30.0,,,,,,,Health Care,80.20072730283066,2.0,,,1,,,,,3,,,,,,,,Standard
24.0,,,,,,,Home Appliances,350.38364996454493,7.0,,,1,,,,,1,,,,,,,,No Preference
33.0,,,,,,,Books,50.469089700239834,4.0,,,2,,,,,5,,,,,,,,Standard
48.0,,,,,,,Office Supplies,212.43810002102975,10.0,,,4,,,,,8,,,,,,,,Standard
44.0,,,,,,,Electronics,40.96010804328774,9.0,,,1,,,,,3,,,,,,,,Standard
20.0,,,,,,,Books,151.05405358985615,11.0,,,3,,,,,1,,,,,,,,No Preference
26.0,,,,,,,Luxury Goods,76.0306133964818,4.0,,,3,,,,,7,,,,,,,,No Preference
31.0,,,,,,,Mobile Accessories,383.54690986735613,1.0,,,2,,,,,3,,,,,,,,Express
34.0,,,,,,,Animal Feed,486.3436308130451,2.0,,,3,,,,,2,,,,,,,,No Preference
25.0,,,,,,,Sports & Outdoors,195.87350019554873,3.0,,,4,,,,,1,,,,,,,,No Preference
36.0,,,,,,,Books,281.63442745704606,7.0,,,2,,,,,8,,,,,,,,No Preference
45.0,,,,,,,Electronics,279.32574390643117,7.0,,,4,,,,,6,,,,,,,,Express
36.0,,,,,,,Animal Feed,142.66213900768528,10.0,,,1,,,,,2,,,,,,,,Standard
30.0,,,,,,,Food & Beverages,302.0329761388873,3.0,,,1,,,,,4,,,,,,,,Express
40.0,,,,,,,Arts & Crafts,460.0208723328551,10.0,,,5,,,,,4,,,,,,,,No Preference
24.0,,,,,,,Software & Apps,361.07058497603236,8.0,,,1,,,,,4,,,,,,,,Standard
26.0,,,,,,,Hotels,338.61726749299123,10.0,,,1,,,,,5,,,,,,,,No Preference
38.0,,,,,,,Sports & Outdoors,307.32708178026905,6.0,,,1,,,,,5,,,,,,,,Standard
47.0,,,,,,,Luxury Goods,180.45710624196232,8.0,,,5,,,,,4,,,,,,,,No Preference
28.0,,,,,,,Baby Products,273.1089439771837,6.0,,,4,,,,,3,,,,,,,,Standard
31.0,,,,,,,Mobile Accessories,383.6619607174099,5.0,,,1,,,,,5,,,,,,,,No Preference
22.0,,,,,,,Food & Beverages,132.9036826437985,3.0,,,2,,,,,8,,,,,,,,No Preference
29.0,,,,,,,Furniture,131.25164763640146,2.0,,,2,,,,,6,,,,,,,,Standard
37.0,,,,,,,Gardening & Outdoors,237.56072782461223,7.0,,,4,,,,,4,,,,,,,,Standard
32.0,,,,,,,Software & Apps,510.50697350642736,2.0,,,4,,,,,4,,,,,,,,Standard
23.0,,,,,,,Travel & Leisure (Flights,80.74413834269767,9.0,,,2,,,,,8,,,,,,,,No Preference
29.0,,,,,,,Baby Products,339.74872583842904,2.0,,,4,,,,,2,,,,,,,,No Preference
29.0,,,,,,,Groceries,248.82858581546606,6.0,,,1,,,,,1,,,,,,,,No Preference
47.0,,,,,,,Hotels,311.04381036304983,2.0,,,4,,,,,6,,,,,,,,No Preference
47.0,,,,,,,Electronics,221.66012480770814,3.0,,,5,,,,,9,,,,,,,,No Preference
31.0,,,,,,,Jewelry & Accessories,391.6331327649614,9.0,,,2,,,,,3,,,,,,,,Standard
40.0,,,,,,,Office Supplies,163.81006780417852,8.0,,,2,,,,,5,,,,,,,,Standard
38.0,,,,,,,Packages),298.8010874407702,7.0,,,5,,,,,5,,,,,,,,Standard
35.0,,,,,,,Health Supplements,274.95846067649984,5.0,,,5,,,,,6,,,,,,,,Standard
41.0,,,,,,,Hotels,294.23716686646117,9.0,,,5,,,,,3,,,,,,,,Express
23.0,,,,,,,Office Supplies,446.0873904118231,3.0,,,5,,,,,8,,,,,,,,Standard
33.0,,,,,,,Arts & Crafts,214.73870460176482,10.0,,,4,,,,,6,,,,,,,,Standard
26.0,,,,,,,Home Appliances,383.87025995390627,11.0,,,3,,,,,6,,,,,,,,Standard
41.0,,,,,,,Travel & Leisure (Flights,181.32041246804278,10.0,,,1,,,,,8,,,,,,,,Standard
33.0,,,,,,,Groceries,324.6873790112511,6.0,,,2,,,,,7,,,,,,,,Express
16.0,,,,,,,Electronics,257.5741280447494,11.0,,,3,,,,,6,,,,,,,,Express
40.0,,,,,,,Electronics,282.2311887757568,6.0,,,1,,,,,6,,,,,,,,Express
24.0,,,,,,,Electronics,382.9396096615731,9.0,,,2,,,,,2,,,,,,,,No Preference
33.0,,,,,,,Mobile Accessories,324.7210801254339,8.0,,,4,,,,,10,,,,,,,,Express
29.0,,,,,,,Travel & Leisure (Flights,406.03931370929854,9.0,,,2,,,,,1,,,,,,,,Standard
17.0,,,,,,,Packages),385.9166576383827,9.0,,,4,,,,,4,,,,,,,,No Preference
27.0,,,,,,,Electronics,121.76592017555029,11.0,,,3,,,,,1,,,,,,,,No Preference
36.0,,,,,,,Jewelry & Accessories,455.7447423025692,10.0,,,5,,,,,10,,,,,,,,Standard
33.0,,,,,,,Beauty & Personal Care,199.1018409745999,7.0,,,1,,,,,9,,,,,,,,Express
37.0,,,,,,,Toys & Games,282.6221985621006,7.0,,,3,,,,,4,,,,,,,,Express
41.0,,,,,,,Luxury Goods,491.6928568955544,7.0,,,5,,,,,8,,,,,,,,Express
35.0,,,,,,,Animal Feed,361.4860379218528,6.0,,,5,,,,,9,,,,,,,,No Preference
15.0,,,,,,,Mobile Accessories,312.0554668541978,12.0,,,4,,,,,9,,,,,,,,Express
24.0,,,,,,,Furniture,26.050717175764653,7.0,,,5,,,,,2,,,,,,,,Standard
25.0,,,,,,,Home Appliances,50.65011854708436,3.0,,,2,,,,,5,,,,,,,,Express
